Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Strain
SRR1267971,RNA-Seq,100,1938839300,PRJNA246056,SAMN02742616,1435226125,GEO,public,"""sra_fastq_run.zq""","""ncbi_gs_s3""","""s3.us-east-1_gs.US_ncbi.public""",Two-cell Embryo Blastomere,SRX530962,GSM1377887,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:15:00Z,1,GSM1377887,blastomere,SRP041618,C57BL/6
SRR1267972,RNA-Seq,100,4092010800,PRJNA246056,SAMN02742615,3020201094,GEO,public,"""run.zq_fastq_sra""","""s3_ncbi_gs""","""gs.US_s3.us-east-1_ncbi.public""",Four-cell Embryo Blastomere,SRX530963,GSM1377888,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:19:00Z,1,GSM1377888,blastomere,SRP041618,C57BL/6
SRR1267973,RNA-Seq,100,4530276700,PRJNA246056,SAMN02742564,3419874916,GEO,public,"""fastq_sra_run.zq""","""gs_ncbi_s3""","""ncbi.public_s3.us-east-1_gs.US""",Four-cell Embryo Blastomere,SRX530964,GSM1377889,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:21:00Z,1,GSM1377889,blastomere,SRP041618,C57BL/6
SRR1267974,RNA-Seq,100,5402318200,PRJNA246056,SAMN02742565,3746960152,GEO,public,"""fastq_sra_run.zq""","""ncbi_s3_gs""","""s3.us-east-1_gs.US_ncbi.public""",Four-cell Embryo Blastomere,SRX530965,GSM1377890,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:22:00Z,1,GSM1377890,blastomere,SRP041618,C57BL/6
SRR1267975,RNA-Seq,100,3347537200,PRJNA246056,SAMN02742566,2536216132,GEO,public,"""fastq_sra_run.zq""","""ncbi_s3_gs""","""gs.US_s3.us-east-1_ncbi.public""",Four-cell Embryo Blastomere,SRX530966,GSM1377891,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:19:00Z,1,GSM1377891,blastomere,SRP041618,C57BL/6
SRR1267976,RNA-Seq,100,4785468000,PRJNA246056,SAMN02742567,3482652660,GEO,public,"""fastq_sra_run.zq""","""s3_ncbi_gs""","""s3.us-east-1_gs.US_ncbi.public""",Four-cell Embryo Blastomere,SRX530967,GSM1377892,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:21:00Z,1,GSM1377892,blastomere,SRP041618,C57BL/6
SRR1267977,RNA-Seq,100,2544470100,PRJNA246056,SAMN02742568,1943378941,GEO,public,"""fastq_sra_run.zq""","""ncbi_s3_gs""","""s3.us-east-1_gs.US_ncbi.public""",Four-cell Embryo Blastomere,SRX530968,GSM1377893,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:17:00Z,1,GSM1377893,blastomere,SRP041618,C57BL/6
SRR1267978,RNA-Seq,100,5642027600,PRJNA246056,SAMN02742569,3988196861,GEO,public,"""fastq_sra_run.zq""","""ncbi_gs_s3""","""gs.US_s3.us-east-1_ncbi.public""",Four-cell Embryo Blastomere,SRX530969,GSM1377894,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:23:00Z,1,GSM1377894,blastomere,SRP041618,C57BL/6
SRR1267979,RNA-Seq,100,5164410700,PRJNA246056,SAMN02742571,3651578325,GEO,public,"""sra_fastq_run.zq""","""gs_s3_ncbi""","""s3.us-east-1_ncbi.public_gs.US""",Four-cell Embryo Blastomere,SRX530970,GSM1377895,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:23:00Z,1,GSM1377895,blastomere,SRP041618,C57BL/6
SRR1267980,RNA-Seq,100,4896732000,PRJNA246056,SAMN02742570,3477837346,GEO,public,"""sra_run.zq_fastq""","""ncbi_s3_gs""","""ncbi.public_s3.us-east-1_gs.US""",Four-cell Embryo Blastomere,SRX530971,GSM1377896,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:21:00Z,1,GSM1377896,blastomere,SRP041618,C57BL/6
SRR1267981,RNA-Seq,100,4895007700,PRJNA246056,SAMN02742573,3464197055,GEO,public,"""sra_fastq_run.zq""","""ncbi_s3_gs""","""ncbi.public_s3.us-east-1_gs.US""",Four-cell Embryo Blastomere,SRX530972,GSM1377897,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:21:00Z,1,GSM1377897,blastomere,SRP041618,C57BL/6
SRR1267983,RNA-Seq,100,4694871600,PRJNA246056,SAMN02742578,3426927783,GEO,public,"""sra_fastq_run.zq""","""ncbi_s3_gs""","""gs.US_s3.us-east-1_ncbi.public""",Four-cell Embryo Blastomere,SRX530974,GSM1377899,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:20:00Z,1,GSM1377899,blastomere,SRP041618,C57BL/6
SRR1267984,RNA-Seq,100,5882649600,PRJNA246056,SAMN02742587,4273312098,GEO,public,"""fastq_run.zq_sra""","""ncbi_gs_s3""","""s3.us-east-1_gs.US_ncbi.public""",Four-cell Embryo Blastomere,SRX530975,GSM1377900,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:27:00Z,1,GSM1377900,blastomere,SRP041618,C57BL/6
SRR1267985,RNA-Seq,100,4292905600,PRJNA246056,SAMN02742576,3199789168,GEO,public,"""run.zq_sra_fastq""","""s3_ncbi_gs""","""gs.US_s3.us-east-1_ncbi.public""",Four-cell Embryo Blastomere,SRX530976,GSM1377901,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:23:00Z,1,GSM1377901,blastomere,SRP041618,C57BL/6
SRR1267986,RNA-Seq,100,5547051500,PRJNA246056,SAMN02742577,4012257651,GEO,public,"""sra_run.zq_fastq""","""ncbi_gs_s3""","""ncbi.public_gs.US_s3.us-east-1""",Four-cell Embryo Blastomere,SRX530977,GSM1377902,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:23:00Z,1,GSM1377902,blastomere,SRP041618,C57BL/6
SRR1267987,RNA-Seq,100,4575274600,PRJNA246056,SAMN02742574,3338843147,GEO,public,"""run.zq_sra_fastq""","""ncbi_gs_s3""","""s3.us-east-1_ncbi.public_gs.US""",Four-cell Embryo Blastomere,SRX530978,GSM1377903,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:33:00Z,1,GSM1377903,blastomere,SRP041618,C57BL/6
SRR1267988,RNA-Seq,100,4313696500,PRJNA246056,SAMN02742586,3164394217,GEO,public,"""sra_run.zq_fastq""","""ncbi_gs_s3""","""ncbi.public_gs.US_s3.us-east-1""",Four-cell Embryo Blastomere,SRX530979,GSM1377904,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:20:00Z,1,GSM1377904,blastomere,SRP041618,C57BL/6
SRR1267989,RNA-Seq,100,4806715300,PRJNA246056,SAMN02742579,3472392145,GEO,public,"""sra_run.zq_fastq""","""ncbi_s3_gs""","""ncbi.public_s3.us-east-1_gs.US""",Four-cell Embryo Blastomere,SRX530980,GSM1377905,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:34:00Z,1,GSM1377905,blastomere,SRP041618,C57BL/6
SRR1267990,RNA-Seq,100,5727727000,PRJNA246056,SAMN02742575,4114081430,GEO,public,"""fastq_run.zq_sra""","""s3_gs_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",Four-cell Embryo Blastomere,SRX530981,GSM1377906,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:26:00Z,1,GSM1377906,blastomere,SRP041618,C57BL/6
SRR1267991,RNA-Seq,100,5966997100,PRJNA246056,SAMN02742582,4273810218,GEO,public,"""run.zq_fastq_sra""","""s3_ncbi_gs""","""s3.us-east-1_gs.US_ncbi.public""",Four-cell Embryo Blastomere,SRX530982,GSM1377907,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:27:00Z,1,GSM1377907,blastomere,SRP041618,C57BL/6
SRR1267992,RNA-Seq,100,6528757600,PRJNA246056,SAMN02742580,4823088698,GEO,public,"""fastq_sra_run.zq""","""ncbi_s3_gs""","""s3.us-east-1_ncbi.public_gs.US""","""inner cell mass\_ from blastocyst""",SRX530983,GSM1377908,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:28:00Z,1,GSM1377908,inner cell mass,SRP041618,C57BL/6
SRR1267993,RNA-Seq,100,2411217500,PRJNA246056,SAMN02742585,1536148098,GEO,public,"""sra_fastq_run.zq""","""s3_gs_ncbi""","""ncbi.public_gs.US_s3.us-east-1""","""inner cell mass\_ from blastocyst""",SRX530984,GSM1377909,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:16:00Z,1,GSM1377909,inner cell mass,SRP041618,C57BL/6
SRR1267994,RNA-Seq,100,5654273500,PRJNA246056,SAMN02742583,3542351279,GEO,public,"""fastq_run.zq_sra""","""ncbi_gs_s3""","""gs.US_ncbi.public_s3.us-east-1""","""inner cell mass\_ from blastocyst""",SRX530985,GSM1377910,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:26:00Z,1,GSM1377910,inner cell mass,SRP041618,C57BL/6
SRR1267995,RNA-Seq,100,4261243200,PRJNA246056,SAMN02742581,2714969432,GEO,public,"""sra_fastq_run.zq""","""ncbi_s3_gs""","""s3.us-east-1_ncbi.public_gs.US""","""inner cell mass\_ from blastocyst""",SRX530986,GSM1377911,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:24:00Z,1,GSM1377911,inner cell mass,SRP041618,C57BL/6
SRR1267996,RNA-Seq,100,4477898500,PRJNA246056,SAMN02742584,3106233077,GEO,public,"""fastq_run.zq_sra""","""gs_s3_ncbi""","""ncbi.public_gs.US_s3.us-east-1""","""trophectoderm\_ from blastocyst""",SRX530987,GSM1377912,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:38:00Z,1,GSM1377912,trophectoderm,SRP041618,C57BL/6
SRR1267997,RNA-Seq,100,5342897600,PRJNA246056,SAMN02742590,3705215403,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""","""trophectoderm\_ from blastocyst""",SRX530988,GSM1377913,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:29:00Z,1,GSM1377913,trophectoderm,SRP041618,C57BL/6
SRR1267998,RNA-Seq,100,4734567800,PRJNA246056,SAMN02742588,3274532326,GEO,public,"""sra_run.zq_fastq""","""gs_ncbi_s3""","""s3.us-east-1_ncbi.public_gs.US""","""trophectoderm\_ from blastocyst""",SRX530989,GSM1377914,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:26:00Z,1,GSM1377914,trophectoderm,SRP041618,C57BL/6
SRR1267949,RNA-Seq,100,236978700,PRJNA246056,SAMN02742598,134821860,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",zygote,SRX530940,GSM1377865,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:13:00Z,1,GSM1377865,zygote,SRP041618,C57BL/6
SRR1267947,RNA-Seq,100,1114698900,PRJNA246056,SAMN02742594,682660364,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",zygote,SRX530938,GSM1377863,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:15:00Z,1,GSM1377863,zygote,SRP041618,C57BL/6
SRR1267946,RNA-Seq,100,1776023000,PRJNA246056,SAMN02742591,1081592304,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",zygote,SRX530937,GSM1377862,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:16:00Z,1,GSM1377862,zygote,SRP041618,C57BL/6
SRR1267943,RNA-Seq,100,1512026900,PRJNA246056,SAMN02742589,926701263,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",zygote,SRX530934,GSM1377859,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:20:00Z,1,GSM1377859,zygote,SRP041618,C57BL/6
SRR1267948,RNA-Seq,100,689481800,PRJNA246056,SAMN02742593,395925628,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",zygote,SRX530939,GSM1377864,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:14:00Z,1,GSM1377864,zygote,SRP041618,C57BL/6
SRR1267944,RNA-Seq,100,1521116700,PRJNA246056,SAMN02742595,930103988,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",zygote,SRX530935,GSM1377860,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:16:00Z,1,GSM1377860,zygote,SRP041618,C57BL/6
SRR1267961,RNA-Seq,100,2483623000,PRJNA246056,SAMN02742619,1883516622,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530952,GSM1377877,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:16:00Z,1,GSM1377877,blastomere,SRP041618,C57BL/6
SRR1267962,RNA-Seq,100,1235292600,PRJNA246056,SAMN02742602,934701888,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530953,GSM1377878,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:13:00Z,1,GSM1377878,blastomere,SRP041618,C57BL/6
SRR1267952,RNA-Seq,100,1589953300,PRJNA246056,SAMN02742618,1218365380,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530943,GSM1377868,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:14:00Z,1,GSM1377868,blastomere,SRP041618,C57BL/6
SRR1267956,RNA-Seq,100,4210386900,PRJNA246056,SAMN02742606,3053615446,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530947,GSM1377872,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:20:00Z,1,GSM1377872,blastomere,SRP041618,C57BL/6
SRR1267965,RNA-Seq,100,4764366700,PRJNA246056,SAMN02742614,3219257184,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530956,GSM1377881,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:19:00Z,1,GSM1377881,blastomere,SRP041618,C57BL/6
SRR1267951,RNA-Seq,100,377023900,PRJNA246056,SAMN02742597,215969408,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",zygote,SRX530942,GSM1377867,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:14:00Z,1,GSM1377867,zygote,SRP041618,C57BL/6
SRR1267954,RNA-Seq,100,4368937400,PRJNA246056,SAMN02742599,3168389740,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530945,GSM1377870,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:20:00Z,1,GSM1377870,blastomere,SRP041618,C57BL/6
SRR1267964,RNA-Seq,100,4340341900,PRJNA246056,SAMN02742608,2972301176,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530955,GSM1377880,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:19:00Z,1,GSM1377880,blastomere,SRP041618,C57BL/6
SRR1267967,RNA-Seq,100,4411819000,PRJNA246056,SAMN02742612,2970819514,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530958,GSM1377883,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:20:00Z,1,GSM1377883,blastomere,SRP041618,C57BL/6
SRR1267968,RNA-Seq,100,3860252200,PRJNA246056,SAMN02742609,2702610658,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530959,GSM1377884,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:18:00Z,1,GSM1377884,blastomere,SRP041618,C57BL/6
SRR1267969,RNA-Seq,100,3923197800,PRJNA246056,SAMN02742611,2708989815,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530960,GSM1377885,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:18:00Z,1,GSM1377885,blastomere,SRP041618,C57BL/6
SRR1267958,RNA-Seq,100,4189552100,PRJNA246056,SAMN02742605,3015057967,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530949,GSM1377874,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:18:00Z,1,GSM1377874,blastomere,SRP041618,C57BL/6
SRR1267955,RNA-Seq,100,5096678100,PRJNA246056,SAMN02742604,3692329245,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530946,GSM1377871,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:20:00Z,1,GSM1377871,blastomere,SRP041618,C57BL/6
