Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Passages,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Treatment,create_date,version
SRR1699909,RNA-Seq,51,166112865,PRJNA269761,SAMN03256525,97707464,human embryonic stem cells,GEO,public,"""run.zq_sra_fastq""","""s3_gs_ncbi""","""gs.US_s3.us-east-1_ncbi.public""",SRX802433,GSM1562422,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562422,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699910,RNA-Seq,51,218369097,PRJNA269761,SAMN03256483,128058442,human embryonic stem cells,GEO,public,"""fastq_sra_run.zq""","""s3_ncbi_gs""","""gs.US_ncbi.public_s3.us-east-1""",SRX802434,GSM1562423,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562423,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699911,RNA-Seq,51,215937264,PRJNA269761,SAMN03256552,125919970,human embryonic stem cells,GEO,public,"""sra_fastq_run.zq""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",SRX802435,GSM1562424,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562424,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699912,RNA-Seq,51,185473434,PRJNA269761,SAMN03256715,109278213,human embryonic stem cells,GEO,public,"""sra_run.zq_fastq""","""ncbi_s3_gs""","""ncbi.public_s3.us-east-1_gs.US""",SRX802436,GSM1562425,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562425,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699913,RNA-Seq,51,159148254,PRJNA269761,SAMN03256620,93660555,human embryonic stem cells,GEO,public,"""sra_run.zq_fastq""","""s3_ncbi_gs""","""gs.US_s3.us-east-1_ncbi.public""",SRX802437,GSM1562426,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562426,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699914,RNA-Seq,51,447401121,PRJNA269761,SAMN03256713,280646116,human embryonic stem cells,GEO,public,"""sra_fastq_run.zq""","""gs_s3_ncbi""","""ncbi.public_s3.us-east-1_gs.US""",SRX802438,GSM1562427,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562427,single H1 hESC,SRP050992,not sorted,2014-12-09T15:58:00Z,1
SRR1699915,RNA-Seq,51,403768683,PRJNA269761,SAMN03256698,251245758,human embryonic stem cells,GEO,public,"""sra_fastq_run.zq""","""ncbi_s3_gs""","""ncbi.public_s3.us-east-1_gs.US""",SRX802439,GSM1562428,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562428,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699916,RNA-Seq,51,211202271,PRJNA269761,SAMN03256537,125328650,human embryonic stem cells,GEO,public,"""run.zq_fastq_sra""","""s3_gs_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",SRX802440,GSM1562429,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562429,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699917,RNA-Seq,51,253293897,PRJNA269761,SAMN03256616,152591591,human embryonic stem cells,GEO,public,"""sra_fastq_run.zq""","""s3_gs_ncbi""","""gs.US_s3.us-east-1_ncbi.public""",SRX802441,GSM1562430,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562430,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699918,RNA-Seq,51,235408860,PRJNA269761,SAMN03256551,137922039,human embryonic stem cells,GEO,public,"""run.zq_sra_fastq""","""gs_s3_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",SRX802442,GSM1562431,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562431,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699919,RNA-Seq,51,252449184,PRJNA269761,SAMN03256708,153440115,human embryonic stem cells,GEO,public,"""fastq_sra_run.zq""","""ncbi_gs_s3""","""ncbi.public_gs.US_s3.us-east-1""",SRX802443,GSM1562432,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562432,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699920,RNA-Seq,51,256764345,PRJNA269761,SAMN03256514,151367969,human embryonic stem cells,GEO,public,"""run.zq_sra_fastq""","""ncbi_gs_s3""","""s3.us-east-1_gs.US_ncbi.public""",SRX802444,GSM1562433,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562433,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699921,RNA-Seq,51,204114750,PRJNA269761,SAMN03256515,120239903,human embryonic stem cells,GEO,public,"""run.zq_sra_fastq""","""ncbi_s3_gs""","""ncbi.public_s3.us-east-1_gs.US""",SRX802445,GSM1562434,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562434,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699922,RNA-Seq,51,190415742,PRJNA269761,SAMN03256652,112027119,human embryonic stem cells,GEO,public,"""sra_fastq_run.zq""","""s3_gs_ncbi""","""s3.us-east-1_ncbi.public_gs.US""",SRX802446,GSM1562435,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562435,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699923,RNA-Seq,51,228031404,PRJNA269761,SAMN03256600,133723787,human embryonic stem cells,GEO,public,"""fastq_sra_run.zq""","""ncbi_s3_gs""","""ncbi.public_s3.us-east-1_gs.US""",SRX802447,GSM1562436,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562436,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699924,RNA-Seq,51,414890865,PRJNA269761,SAMN03256527,261759099,human embryonic stem cells,GEO,public,"""run.zq_sra_fastq""","""s3_gs_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",SRX802448,GSM1562437,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562437,single H1 hESC,SRP050992,not sorted,2014-12-09T15:58:00Z,1
SRR1699925,RNA-Seq,51,570813573,PRJNA269761,SAMN03256577,362419424,human embryonic stem cells,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""s3.us-east-1_gs.US_ncbi.public""",SRX802449,GSM1562438,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562438,single H1 hESC,SRP050992,not sorted,2014-12-09T15:58:00Z,1
SRR1699926,RNA-Seq,51,476870553,PRJNA269761,SAMN03256648,298495809,human embryonic stem cells,GEO,public,"""sra_fastq_run.zq""","""s3_gs_ncbi""","""ncbi.public_s3.us-east-1_gs.US""",SRX802450,GSM1562439,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562439,single H1 hESC,SRP050992,not sorted,2014-12-09T15:58:00Z,1
SRR1699927,RNA-Seq,51,270455754,PRJNA269761,SAMN03256610,159674384,human embryonic stem cells,GEO,public,"""run.zq_sra_fastq""","""ncbi_gs_s3""","""gs.US_ncbi.public_s3.us-east-1""",SRX802451,GSM1562440,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562440,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699928,RNA-Seq,51,269639193,PRJNA269761,SAMN03256665,163281050,human embryonic stem cells,GEO,public,"""run.zq_fastq_sra""","""gs_ncbi_s3""","""s3.us-east-1_ncbi.public_gs.US""",SRX802452,GSM1562441,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562441,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699929,RNA-Seq,51,267986589,PRJNA269761,SAMN03256478,156948122,human embryonic stem cells,GEO,public,"""run.zq_sra_fastq""","""gs_s3_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",SRX802453,GSM1562442,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562442,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699930,RNA-Seq,51,267645450,PRJNA269761,SAMN03256567,158264560,human embryonic stem cells,GEO,public,"""fastq_run.zq_sra""","""s3_ncbi_gs""","""s3.us-east-1_gs.US_ncbi.public""",SRX802454,GSM1562443,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562443,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
