Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,STRAIN,cross,Tissue
SRR1041738,RNA-Seq,43,420750915,PRJNA195938,SAMN02429278,386465443,GEO,public,"""fastq_sra""","""gs_s3_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",8-cell stage blastomere,SRX386072,GSM1278019,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278019,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041739,RNA-Seq,43,218422886,PRJNA195938,SAMN02429272,235376541,GEO,public,"""fastq_sra""","""ncbi_gs_s3""","""s3.us-east-1_ncbi.public_gs.US""",8-cell stage blastomere,SRX386073,GSM1278020,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278020,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041740,RNA-Seq,43,323042402,PRJNA195938,SAMN02429273,329368192,GEO,public,"""fastq_sra""","""ncbi_s3_gs""","""gs.US_ncbi.public_s3.us-east-1""",8-cell stage blastomere,SRX386074,GSM1278021,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278021,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041741,RNA-Seq,43,383312019,PRJNA195938,SAMN02429274,364030551,GEO,public,"""fastq_sra""","""ncbi_s3_gs""","""s3.us-east-1_ncbi.public_gs.US""",8-cell stage blastomere,SRX386075,GSM1278022,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278022,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041742,RNA-Seq,43,245624256,PRJNA195938,SAMN02429277,235901858,GEO,public,"""sra_fastq""","""gs_s3_ncbi""","""s3.us-east-1_ncbi.public_gs.US""",8-cell stage blastomere,SRX386076,GSM1278023,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278023,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041743,RNA-Seq,43,302970733,PRJNA195938,SAMN02429280,289036062,GEO,public,"""fastq_sra""","""s3_gs_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",8-cell stage blastomere,SRX386077,GSM1278024,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278024,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041744,RNA-Seq,43,288042122,PRJNA195938,SAMN02429279,272946919,GEO,public,"""sra_fastq""","""s3_ncbi_gs""","""gs.US_ncbi.public_s3.us-east-1""",8-cell stage blastomere,SRX386078,GSM1278025,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278025,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041745,RNA-Seq,43,718632684,PRJNA195938,SAMN02429281,654606126,GEO,public,"""fastq_sra""","""s3_gs_ncbi""","""gs.US_ncbi.public_s3.us-east-1""",8-cell stage blastomere,SRX386079,GSM1278026,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278026,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041746,RNA-Seq,43,506169297,PRJNA195938,SAMN02429289,489837243,GEO,public,"""sra_fastq""","""ncbi_gs_s3""","""gs.US_s3.us-east-1_ncbi.public""",8-cell stage blastomere,SRX386080,GSM1278027,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278027,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041747,RNA-Seq,43,794453380,PRJNA195938,SAMN02429283,705891788,GEO,public,"""fastq_sra""","""gs_s3_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",8-cell stage blastomere,SRX386081,GSM1278028,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278028,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041748,RNA-Seq,43,444611314,PRJNA195938,SAMN02429284,445900131,GEO,public,"""fastq_sra""","""ncbi_gs_s3""","""gs.US_s3.us-east-1_ncbi.public""",8-cell stage blastomere,SRX386082,GSM1278029,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278029,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041749,RNA-Seq,43,682214307,PRJNA195938,SAMN02429282,628442918,GEO,public,"""fastq_sra""","""s3_ncbi_gs""","""s3.us-east-1_gs.US_ncbi.public""",8-cell stage blastomere,SRX386083,GSM1278030,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278030,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041750,RNA-Seq,43,859379510,PRJNA195938,SAMN02429297,750699918,GEO,public,"""sra_fastq""","""s3_gs_ncbi""","""gs.US_s3.us-east-1_ncbi.public""",8-cell stage blastomere,SRX386084,GSM1278031,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278031,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041751,RNA-Seq,43,161519223,PRJNA195938,SAMN02429285,179259885,GEO,public,"""fastq_sra""","""ncbi_s3_gs""","""s3.us-east-1_ncbi.public_gs.US""",8-cell stage blastomere,SRX386085,GSM1278032,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278032,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041752,RNA-Seq,43,302383568,PRJNA195938,SAMN02429293,314446214,GEO,public,"""sra_fastq""","""ncbi_s3_gs""","""ncbi.public_s3.us-east-1_gs.US""",8-cell stage blastomere,SRX386086,GSM1278033,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278033,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041753,RNA-Seq,43,176242853,PRJNA195938,SAMN02429296,193777414,GEO,public,"""fastq_sra""","""gs_ncbi_s3""","""ncbi.public_gs.US_s3.us-east-1""",8-cell stage blastomere,SRX386087,GSM1278034,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278034,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041754,RNA-Seq,43,81802555,PRJNA195938,SAMN02429300,93360310,GEO,public,"""sra_fastq""","""s3_gs_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",8-cell stage blastomere,SRX386088,GSM1278035,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278035,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041755,RNA-Seq,43,1210698669,PRJNA195938,SAMN02429301,1116949288,GEO,public,"""sra_fastq""","""gs_s3_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",fibroblast (primary culture from tail),SRX386089,GSM1278036,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278036,fibroblast (primary culture from tail),SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041756,RNA-Seq,43,978073442,PRJNA195938,SAMN02429302,935378703,GEO,public,"""sra_fastq""","""s3_gs_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",fibroblast (primary culture from tail),SRX386090,GSM1278037,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278037,fibroblast (primary culture from tail),SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041757,RNA-Seq,43,1238623127,PRJNA195938,SAMN02429287,1134262937,GEO,public,"""sra_fastq""","""s3_ncbi_gs""","""ncbi.public_s3.us-east-1_gs.US""",fibroblast (primary culture from tail),SRX386091,GSM1278038,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278038,fibroblast (primary culture from tail),SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041758,RNA-Seq,43,2509333628,PRJNA195938,SAMN02429290,2252065841,GEO,public,"""fastq_sra""","""gs_s3_ncbi""","""s3.us-east-1_ncbi.public_gs.US""",fibroblast (primary culture from tail),SRX386092,GSM1278039,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278039,fibroblast (primary culture from tail),SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041759,RNA-Seq,43,1094686002,PRJNA195938,SAMN02429288,1030763391,GEO,public,"""fastq_sra""","""s3_gs_ncbi""","""gs.US_s3.us-east-1_ncbi.public""",fibroblast (primary culture from tail),SRX386093,GSM1278040,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278040,fibroblast (primary culture from tail),SRP020490,C57BL/6J(mother) x CAST/EiJ(father),first generation cross,-
SRR1041760,RNA-Seq,43,1244348749,PRJNA195938,SAMN02429292,1143123043,GEO,public,"""fastq_sra""","""s3_gs_ncbi""","""gs.US_s3.us-east-1_ncbi.public""",fibroblast (primary culture from tail),SRX386094,GSM1278041,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278041,fibroblast (primary culture from tail),SRP020490,C57BL/6J(mother) x CAST/EiJ(father),first generation cross,-
SRR1041761,RNA-Seq,43,1457195868,PRJNA195938,SAMN02429291,1314581341,GEO,public,"""sra_fastq""","""s3_gs_ncbi""","""s3.us-east-1_ncbi.public_gs.US""",fibroblast (primary culture from tail),SRX386095,GSM1278042,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278042,fibroblast (primary culture from tail),SRP020490,C57BL/6J(mother) x CAST/EiJ(father),first generation cross,-
SRR1041762,RNA-Seq,43,1305565269,PRJNA195938,SAMN02429295,1194172400,GEO,public,"""sra_fastq""","""gs_s3_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",fibroblast (primary culture from tail),SRX386096,GSM1278043,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278043,fibroblast (primary culture from tail),SRP020490,C57BL/6J(mother) x CAST/EiJ(father),first generation cross,-
SRR1041763,RNA-Seq,43,1106694913,PRJNA195938,SAMN02429294,1031674624,GEO,public,"""sra_fastq""","""s3_ncbi_gs""","""ncbi.public_gs.US_s3.us-east-1""",fibroblast (primary culture from tail),SRX386097,GSM1278044,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278044,fibroblast (primary culture from tail),SRP020490,C57BL/6J(mother) x CAST/EiJ(father),first generation cross,-
SRR1041764,RNA-Seq,43,1083033647,PRJNA195938,SAMN02429286,966445371,GEO,public,"""fastq_sra""","""ncbi_s3_gs""","""ncbi.public_gs.US_s3.us-east-1""",fibroblast (primary culture from tail),SRX386098,GSM1278045,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278045,fibroblast (primary culture from tail),SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805173,RNA-Seq,53,839936368,PRJNA195938,SAMN01997282,651432159,GEO,public,"""fastq_sra""","""gs_ncbi_s3""","""s3.us-east-1_gs.US_ncbi.public""",16-cell stage blastomere,SRX259105,GSM1112490,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112490,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805174,RNA-Seq,53,1002014661,PRJNA195938,SAMN01997283,773643464,GEO,public,"""sra_fastq""","""gs_s3_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",16-cell stage blastomere,SRX259106,GSM1112491,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112491,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805175,RNA-Seq,53,1057562848,PRJNA195938,SAMN01997284,811028073,GEO,public,"""fastq_sra""","""ncbi_gs_s3""","""gs.US_s3.us-east-1_ncbi.public""",16-cell stage blastomere,SRX259107,GSM1112492,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112492,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805176,RNA-Seq,53,676981031,PRJNA195938,SAMN01997285,548213816,GEO,public,"""sra_fastq""","""gs_s3_ncbi""","""ncbi.public_s3.us-east-1_gs.US""",16-cell stage blastomere,SRX259108,GSM1112493,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112493,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805177,RNA-Seq,53,1013062087,PRJNA195938,SAMN01997286,795301618,GEO,public,"""fastq_sra""","""s3_gs_ncbi""","""gs.US_ncbi.public_s3.us-east-1""",16-cell stage blastomere,SRX259109,GSM1112494,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112494,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805178,RNA-Seq,53,1091454493,PRJNA195938,SAMN01997287,856794234,GEO,public,"""fastq_sra""","""gs_ncbi_s3""","""s3.us-east-1_ncbi.public_gs.US""",16-cell stage blastomere,SRX259110,GSM1112495,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112495,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805179,RNA-Seq,53,1106428477,PRJNA195938,SAMN01997288,965551628,GEO,public,"""fastq_sra""","""s3_gs_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",16-cell stage blastomere,SRX259111,GSM1112496,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112496,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805180,RNA-Seq,53,1166254665,PRJNA195938,SAMN01997289,870159502,GEO,public,"""sra_fastq""","""ncbi_gs_s3""","""gs.US_s3.us-east-1_ncbi.public""",16-cell stage blastomere,SRX259112,GSM1112497,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112497,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805181,RNA-Seq,53,790665395,PRJNA195938,SAMN01997290,717115423,GEO,public,"""fastq_sra""","""ncbi_gs_s3""","""s3.us-east-1_gs.US_ncbi.public""",16-cell stage blastomere,SRX259113,GSM1112498,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112498,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805182,RNA-Seq,53,1061316096,PRJNA195938,SAMN01997291,811124360,GEO,public,"""sra_fastq""","""gs_s3_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",16-cell stage blastomere,SRX259114,GSM1112499,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112499,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805183,RNA-Seq,53,721953492,PRJNA195938,SAMN01997292,572155709,GEO,public,"""fastq_sra""","""ncbi_s3_gs""","""gs.US_ncbi.public_s3.us-east-1""",16-cell stage blastomere,SRX259115,GSM1112500,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112500,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805184,RNA-Seq,53,720896937,PRJNA195938,SAMN01997293,572812617,GEO,public,"""sra_fastq""","""ncbi_gs_s3""","""gs.US_s3.us-east-1_ncbi.public""",16-cell stage blastomere,SRX259116,GSM1112501,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112501,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805185,RNA-Seq,53,772382144,PRJNA195938,SAMN01997294,623952766,GEO,public,"""sra_fastq""","""ncbi_gs_s3""","""s3.us-east-1_ncbi.public_gs.US""",16-cell stage blastomere,SRX259117,GSM1112502,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112502,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805186,RNA-Seq,53,703581201,PRJNA195938,SAMN01997295,643495649,GEO,public,"""fastq_sra""","""gs_s3_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",16-cell stage blastomere,SRX259118,GSM1112503,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112503,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805187,RNA-Seq,46,494624752,PRJNA195938,SAMN01997296,429299751,GEO,public,"""fastq_sra""","""ncbi_s3_gs""","""ncbi.public_s3.us-east-1_gs.US""",16-cell stage blastomere,SRX259119,GSM1112504,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112504,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805188,RNA-Seq,46,623065768,PRJNA195938,SAMN01997297,547720095,GEO,public,"""sra_fastq""","""gs_s3_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",16-cell stage blastomere,SRX259120,GSM1112505,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112505,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805189,RNA-Seq,46,737150598,PRJNA195938,SAMN01997298,641165420,GEO,public,"""fastq_sra""","""gs_s3_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",16-cell stage blastomere,SRX259121,GSM1112506,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112506,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805190,RNA-Seq,46,973672478,PRJNA195938,SAMN01997299,820980365,GEO,public,"""fastq_sra""","""gs_s3_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",16-cell stage blastomere,SRX259122,GSM1112507,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112507,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR805191,RNA-Seq,46,615820400,PRJNA195938,SAMN01997300,525959783,GEO,public,"""sra_fastq""","""s3_gs_ncbi""","""ncbi.public_s3.us-east-1_gs.US""",16-cell stage blastomere,SRX259123,GSM1112508,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1112508,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
