Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,facs_sorting,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,PASSAGE,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR2977649,RNA-Seq,51,161111091,PRJNA305280,SAMN04322257,100847866,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467235,not sorted,GSM1964964,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964964,H9 cells differentiated for 72 hours,SRP067036
SRR2977650,RNA-Seq,51,158428338,PRJNA305280,SAMN04322258,99639123,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467236,not sorted,GSM1964965,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964965,H9 cells differentiated for 72 hours,SRP067036
SRR2977651,RNA-Seq,51,149509458,PRJNA305280,SAMN04322160,93996289,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467237,not sorted,GSM1964966,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964966,H9 cells differentiated for 72 hours,SRP067036
SRR2977652,RNA-Seq,51,163712295,PRJNA305280,SAMN04322161,102952700,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467238,not sorted,GSM1964967,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964967,H9 cells differentiated for 96 hours,SRP067036
SRR2977653,RNA-Seq,51,143107734,PRJNA305280,SAMN04322162,89664610,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467239,not sorted,GSM1964968,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964968,H9 cells differentiated for 96 hours,SRP067036
SRR2977654,RNA-Seq,51,150544656,PRJNA305280,SAMN04322259,94254573,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467240,not sorted,GSM1964969,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964969,H9 cells differentiated for 96 hours,SRP067036
SRR2977655,RNA-Seq,51,262986039,PRJNA305280,SAMN04322260,175402445,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467241,not sorted,GSM1964970,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964970,undifferentiated human embryonic stem cells,SRP067036
SRR2977656,RNA-Seq,51,242908155,PRJNA305280,SAMN04322261,172503264,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467242,not sorted,GSM1964971,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964971,undifferentiated human embryonic stem cells,SRP067036
SRR2977657,RNA-Seq,51,350681457,PRJNA305280,SAMN04322262,213746182,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467243,not sorted,GSM1964972,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964972,undifferentiated human embryonic stem cells,SRP067036
SRR2977658,RNA-Seq,51,199651434,PRJNA305280,SAMN04322263,143958166,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467244,not sorted,GSM1964973,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964973,undifferentiated human embryonic stem cells,SRP067036
SRR2977659,RNA-Seq,51,298127130,PRJNA305280,SAMN04322264,187700436,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467245,not sorted,GSM1964975,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964975,undifferentiated human embryonic stem cells,SRP067036
SRR2977660,RNA-Seq,51,286185174,PRJNA305280,SAMN04322265,202824014,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467246,not sorted,GSM1964977,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964977,undifferentiated human embryonic stem cells,SRP067036
SRR2977661,RNA-Seq,51,287507655,PRJNA305280,SAMN04322266,199949954,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467247,not sorted,GSM1964978,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964978,undifferentiated human embryonic stem cells,SRP067036
SRR2977662,RNA-Seq,51,295194426,PRJNA305280,SAMN04322267,190546168,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467248,not sorted,GSM1964979,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964979,undifferentiated human embryonic stem cells,SRP067036
SRR2977663,RNA-Seq,51,373843923,PRJNA305280,SAMN04322268,231768392,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467249,not sorted,GSM1964980,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964980,undifferentiated human embryonic stem cells,SRP067036
SRR2977664,RNA-Seq,51,275653419,PRJNA305280,SAMN04322269,188306883,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467250,not sorted,GSM1964981,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964981,undifferentiated human embryonic stem cells,SRP067036
SRR2977665,RNA-Seq,51,310186182,PRJNA305280,SAMN04322270,201391390,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467251,not sorted,GSM1964982,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964982,undifferentiated human embryonic stem cells,SRP067036
SRR2977666,RNA-Seq,51,399936747,PRJNA305280,SAMN04322271,275704212,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467252,not sorted,GSM1964983,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964983,undifferentiated human embryonic stem cells,SRP067036
SRR2977667,RNA-Seq,51,430591419,PRJNA305280,SAMN04322272,260054350,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467253,not sorted,GSM1964984,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964984,undifferentiated human embryonic stem cells,SRP067036
SRR2977668,RNA-Seq,51,446572014,PRJNA305280,SAMN04322273,268818537,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467254,not sorted,GSM1964985,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964985,undifferentiated human embryonic stem cells,SRP067036
SRR2977669,RNA-Seq,51,410180352,PRJNA305280,SAMN04322274,247155324,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467255,not sorted,GSM1964986,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964986,undifferentiated human embryonic stem cells,SRP067036
SRR2977670,RNA-Seq,51,331960377,PRJNA305280,SAMN04322275,199436460,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467256,not sorted,GSM1964987,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964987,undifferentiated human embryonic stem cells,SRP067036
SRR2977671,RNA-Seq,51,383110827,PRJNA305280,SAMN04322276,230470914,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467257,not sorted,GSM1964988,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964988,undifferentiated human embryonic stem cells,SRP067036
SRR2977672,RNA-Seq,51,500708412,PRJNA305280,SAMN04322277,309999648,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467258,not sorted,GSM1964989,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964989,undifferentiated human embryonic stem cells,SRP067036
SRR2977673,RNA-Seq,51,618969558,PRJNA305280,SAMN04322278,382979527,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467259,not sorted,GSM1964990,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964990,undifferentiated human embryonic stem cells,SRP067036
SRR2977674,RNA-Seq,51,412783800,PRJNA305280,SAMN04322279,276105371,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467260,not sorted,GSM1964991,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964991,undifferentiated human embryonic stem cells,SRP067036
SRR2977675,RNA-Seq,51,759944523,PRJNA305280,SAMN04322280,465709855,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467261,not sorted,GSM1964992,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964992,undifferentiated human embryonic stem cells,SRP067036
SRR2977676,RNA-Seq,51,475102485,PRJNA305280,SAMN04322281,327044313,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467262,not sorted,GSM1964993,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964993,undifferentiated human embryonic stem cells,SRP067036
SRR2977677,RNA-Seq,51,428593953,PRJNA305280,SAMN04322282,289052315,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467263,not sorted,GSM1964994,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964994,undifferentiated human embryonic stem cells,SRP067036
SRR2977678,RNA-Seq,51,751032885,PRJNA305280,SAMN04322223,470791716,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467264,not sorted,GSM1964995,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964995,undifferentiated human embryonic stem cells,SRP067036
SRR2977679,RNA-Seq,51,490565889,PRJNA305280,SAMN04322224,294098202,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467265,not sorted,GSM1964996,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964996,undifferentiated human embryonic stem cells,SRP067036
SRR2977680,RNA-Seq,51,356991381,PRJNA305280,SAMN04322225,224076940,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467266,not sorted,GSM1964997,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964997,undifferentiated human embryonic stem cells,SRP067036
SRR2977681,RNA-Seq,51,508575621,PRJNA305280,SAMN04322226,303030996,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467267,not sorted,GSM1964998,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964998,undifferentiated human embryonic stem cells,SRP067036
SRR2977682,RNA-Seq,51,304678182,PRJNA305280,SAMN04322227,184150650,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467268,not sorted,GSM1964999,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964999,undifferentiated human embryonic stem cells,SRP067036
SRR2977683,RNA-Seq,51,417391395,PRJNA305280,SAMN04322228,255443024,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467269,not sorted,GSM1965000,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965000,undifferentiated human embryonic stem cells,SRP067036
SRR2977684,RNA-Seq,51,450980862,PRJNA305280,SAMN04322229,271430157,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467270,not sorted,GSM1965001,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965001,undifferentiated human embryonic stem cells,SRP067036
SRR2977685,RNA-Seq,51,481038171,PRJNA305280,SAMN04322230,297683808,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467271,not sorted,GSM1965002,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965002,undifferentiated human embryonic stem cells,SRP067036
SRR2977686,RNA-Seq,51,533414049,PRJNA305280,SAMN04322231,330797073,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467272,not sorted,GSM1965003,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965003,undifferentiated human embryonic stem cells,SRP067036
SRR2977687,RNA-Seq,51,452397948,PRJNA305280,SAMN04322232,279612239,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467273,not sorted,GSM1965004,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965004,undifferentiated human embryonic stem cells,SRP067036
SRR2977688,RNA-Seq,51,374663901,PRJNA305280,SAMN04322233,241263634,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467274,not sorted,GSM1965005,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965005,undifferentiated human embryonic stem cells,SRP067036
SRR2977689,RNA-Seq,51,447593391,PRJNA305280,SAMN04322234,278553993,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467275,not sorted,GSM1965006,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965006,undifferentiated human embryonic stem cells,SRP067036
SRR2977690,RNA-Seq,51,433113216,PRJNA305280,SAMN04322235,272997573,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467276,not sorted,GSM1965007,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965007,undifferentiated human embryonic stem cells,SRP067036
