Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,Experiment,Experiment.1,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,major_cell_type,Organism,Platform,protocol,ReleaseDate,Sample Name,source_name,SRA Study,DATASTORE filetype,DATASTORE provider,DATASTORE region
SRR3637628,RNA-Seq,150,35964000,PRJNA324641,SAMN05211472,17547386,GEO,public,SRX1826162,BTN24,GSM2188964,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188964,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637629,RNA-Seq,150,73211250,PRJNA324641,SAMN05211473,36137138,GEO,public,SRX1826163,BTN24,GSM2188965,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188965,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637630,RNA-Seq,150,70989150,PRJNA324641,SAMN05211473,34882204,GEO,public,SRX1826163,BTN24,GSM2188965,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188965,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637631,RNA-Seq,150,77594700,PRJNA324641,SAMN05211473,38026127,GEO,public,SRX1826163,BTN24,GSM2188965,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188965,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637632,RNA-Seq,150,73893600,PRJNA324641,SAMN05211473,36192589,GEO,public,SRX1826163,BTN24,GSM2188965,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188965,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637633,RNA-Seq,150,56295000,PRJNA324641,SAMN05211474,28010816,GEO,public,SRX1826164,BTN24,GSM2188966,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188966,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637634,RNA-Seq,150,54602400,PRJNA324641,SAMN05211474,26991844,GEO,public,SRX1826164,BTN24,GSM2188966,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188966,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637635,RNA-Seq,150,58985400,PRJNA324641,SAMN05211474,29168233,GEO,public,SRX1826164,BTN24,GSM2188966,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188966,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637636,RNA-Seq,150,56942400,PRJNA324641,SAMN05211474,28097002,GEO,public,SRX1826164,BTN24,GSM2188966,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188966,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637637,RNA-Seq,150,43904400,PRJNA324641,SAMN05211475,20830602,GEO,public,SRX1826165,BTN27,GSM2188967,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188967,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637638,RNA-Seq,150,43013850,PRJNA324641,SAMN05211475,20274535,GEO,public,SRX1826165,BTN27,GSM2188967,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188967,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637639,RNA-Seq,150,43345050,PRJNA324641,SAMN05211475,20585964,GEO,public,SRX1826165,BTN27,GSM2188967,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188967,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637640,RNA-Seq,150,42316650,PRJNA324641,SAMN05211475,20097037,GEO,public,SRX1826165,BTN27,GSM2188967,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188967,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637641,RNA-Seq,150,172579950,PRJNA324641,SAMN05211475,81694945,GEO,public,SRX1826165,BTN27,GSM2188967,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188967,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637642,RNA-Seq,150,42626100,PRJNA324641,SAMN05211476,21286455,GEO,public,SRX1826166,BTN27,GSM2188968,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188968,striatum,SRP076212,fastq,s3,s3.us-east-1
SRR3637643,RNA-Seq,150,41196000,PRJNA324641,SAMN05211476,20462924,GEO,public,SRX1826166,BTN27,GSM2188968,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188968,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637644,RNA-Seq,150,41919600,PRJNA324641,SAMN05211476,20997900,GEO,public,SRX1826166,BTN27,GSM2188968,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188968,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637645,RNA-Seq,150,40054050,PRJNA324641,SAMN05211476,20077278,GEO,public,SRX1826166,BTN27,GSM2188968,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188968,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637646,RNA-Seq,150,165795750,PRJNA324641,SAMN05211476,82731104,GEO,public,SRX1826166,BTN27,GSM2188968,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188968,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637647,RNA-Seq,150,43462800,PRJNA324641,SAMN05211477,20569520,GEO,public,SRX1826167,BTN27,GSM2188969,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188969,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637648,RNA-Seq,150,42775350,PRJNA324641,SAMN05211477,20088560,GEO,public,SRX1826167,BTN27,GSM2188969,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188969,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637649,RNA-Seq,150,43183500,PRJNA324641,SAMN05211477,20452427,GEO,public,SRX1826167,BTN27,GSM2188969,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188969,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637650,RNA-Seq,150,42176850,PRJNA324641,SAMN05211477,19974886,GEO,public,SRX1826167,BTN27,GSM2188969,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188969,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637651,RNA-Seq,150,171598500,PRJNA324641,SAMN05211477,80991746,GEO,public,SRX1826167,BTN27,GSM2188969,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188969,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637652,RNA-Seq,150,43147950,PRJNA324641,SAMN05211478,20950991,GEO,public,SRX1826168,BTN27,GSM2188970,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188970,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637653,RNA-Seq,150,42250500,PRJNA324641,SAMN05211478,20420571,GEO,public,SRX1826168,BTN27,GSM2188970,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188970,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637654,RNA-Seq,150,42745950,PRJNA324641,SAMN05211478,20786532,GEO,public,SRX1826168,BTN27,GSM2188970,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188970,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637655,RNA-Seq,150,41359950,PRJNA324641,SAMN05211478,20115457,GEO,public,SRX1826168,BTN27,GSM2188970,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188970,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637656,RNA-Seq,150,169504350,PRJNA324641,SAMN05211478,82179420,GEO,public,SRX1826168,BTN27,GSM2188970,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188970,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637657,RNA-Seq,150,48079200,PRJNA324641,SAMN05211479,22682773,GEO,public,SRX1826169,BTN27,GSM2188971,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188971,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637658,RNA-Seq,150,46668900,PRJNA324641,SAMN05211479,21851095,GEO,public,SRX1826169,BTN27,GSM2188971,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188971,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637659,RNA-Seq,150,47594700,PRJNA324641,SAMN05211479,22483161,GEO,public,SRX1826169,BTN27,GSM2188971,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188971,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637660,RNA-Seq,150,45833100,PRJNA324641,SAMN05211479,21637947,GEO,public,SRX1826169,BTN27,GSM2188971,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188971,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637661,RNA-Seq,150,188175900,PRJNA324641,SAMN05211479,88560182,GEO,public,SRX1826169,BTN27,GSM2188971,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188971,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637662,RNA-Seq,150,34656450,PRJNA324641,SAMN05211480,16457060,GEO,public,SRX1826170,BTN27,GSM2188972,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188972,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637663,RNA-Seq,150,33297300,PRJNA324641,SAMN05211480,15684547,GEO,public,SRX1826170,BTN27,GSM2188972,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188972,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637664,RNA-Seq,150,33992250,PRJNA324641,SAMN05211480,16175159,GEO,public,SRX1826170,BTN27,GSM2188972,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188972,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637665,RNA-Seq,150,32862450,PRJNA324641,SAMN05211480,15621354,GEO,public,SRX1826170,BTN27,GSM2188972,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188972,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637666,RNA-Seq,150,134808450,PRJNA324641,SAMN05211480,63844296,GEO,public,SRX1826170,BTN27,GSM2188972,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188972,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637667,RNA-Seq,150,38139300,PRJNA324641,SAMN05211481,18015775,GEO,public,SRX1826171,BTN27,GSM2188973,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188973,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637668,RNA-Seq,150,37377600,PRJNA324641,SAMN05211481,17515122,GEO,public,SRX1826171,BTN27,GSM2188973,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188973,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637669,RNA-Seq,150,37963200,PRJNA324641,SAMN05211481,17968859,GEO,public,SRX1826171,BTN27,GSM2188973,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188973,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637670,RNA-Seq,150,36905550,PRJNA324641,SAMN05211481,17444305,GEO,public,SRX1826171,BTN27,GSM2188973,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188973,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637671,RNA-Seq,150,150385650,PRJNA324641,SAMN05211481,70850665,GEO,public,SRX1826171,BTN27,GSM2188973,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188973,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637672,RNA-Seq,150,52359600,PRJNA324641,SAMN05211482,25466269,GEO,public,SRX1826172,BTN27,GSM2188974,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188974,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637673,RNA-Seq,150,50735250,PRJNA324641,SAMN05211482,24482201,GEO,public,SRX1826172,BTN27,GSM2188974,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188974,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637674,RNA-Seq,150,51901650,PRJNA324641,SAMN05211482,25310087,GEO,public,SRX1826172,BTN27,GSM2188974,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188974,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637675,RNA-Seq,150,50433300,PRJNA324641,SAMN05211482,24555175,GEO,public,SRX1826172,BTN27,GSM2188974,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188974,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637676,RNA-Seq,150,205429800,PRJNA324641,SAMN05211482,99721065,GEO,public,SRX1826172,BTN27,GSM2188974,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188974,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637677,RNA-Seq,150,39448800,PRJNA324641,SAMN05211483,18653775,GEO,public,SRX1826173,BTN27,GSM2188975,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188975,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637678,RNA-Seq,150,38569200,PRJNA324641,SAMN05211483,18116421,GEO,public,SRX1826173,BTN27,GSM2188975,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188975,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637679,RNA-Seq,150,38919150,PRJNA324641,SAMN05211483,18436804,GEO,public,SRX1826173,BTN27,GSM2188975,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188975,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637680,RNA-Seq,150,37996650,PRJNA324641,SAMN05211483,18003120,GEO,public,SRX1826173,BTN27,GSM2188975,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188975,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637681,RNA-Seq,150,154933800,PRJNA324641,SAMN05211483,73116730,GEO,public,SRX1826173,BTN27,GSM2188975,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188975,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637682,RNA-Seq,150,43585500,PRJNA324641,SAMN05211484,20706218,GEO,public,SRX1826174,BTN27,GSM2188976,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188976,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637683,RNA-Seq,150,42505950,PRJNA324641,SAMN05211484,20042258,GEO,public,SRX1826174,BTN27,GSM2188976,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188976,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637684,RNA-Seq,150,43165350,PRJNA324641,SAMN05211484,20526481,GEO,public,SRX1826174,BTN27,GSM2188976,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188976,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637685,RNA-Seq,150,41581950,PRJNA324641,SAMN05211484,19760935,GEO,public,SRX1826174,BTN27,GSM2188976,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188976,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637686,RNA-Seq,150,170838750,PRJNA324641,SAMN05211484,80942596,GEO,public,SRX1826174,BTN27,GSM2188976,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Astro,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188976,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637687,RNA-Seq,150,53832300,PRJNA324641,SAMN05211485,25530831,GEO,public,SRX1826175,BTN27,GSM2188977,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Oligo,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188977,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637688,RNA-Seq,150,52714800,PRJNA324641,SAMN05211485,24781015,GEO,public,SRX1826175,BTN27,GSM2188977,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Oligo,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188977,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637689,RNA-Seq,150,53476200,PRJNA324641,SAMN05211485,25340082,GEO,public,SRX1826175,BTN27,GSM2188977,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Oligo,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188977,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
