Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,c1_chip_id,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,experiment_sample_name,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue
SRR1974555,postnatal 54 years,RNA-Seq,150,517450050,PRJNA281204,SAMN03486338,245157512,1772078217,hybrid,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995873,AB_S8,GSM1657883,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657883,Brain,SRP057196,cortex
SRR1974556,postnatal 54 years,RNA-Seq,150,241903050,PRJNA281204,SAMN03486339,113028785,1772078217,hybrid,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995874,AB_S8,GSM1657884,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657884,Brain,SRP057196,cortex
SRR1974557,postnatal 54 years,RNA-Seq,150,375970950,PRJNA281204,SAMN03486340,171009008,1772078217,astrocytes,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995875,AB_S8,GSM1657885,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657885,Brain,SRP057196,cortex
SRR1974558,postnatal 54 years,RNA-Seq,150,616788000,PRJNA281204,SAMN03486341,279426484,1772078217,hybrid,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995876,AB_S8,GSM1657886,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657886,Brain,SRP057196,cortex
SRR1974559,postnatal 54 years,RNA-Seq,150,600901650,PRJNA281204,SAMN03486342,270504644,1772078217,hybrid,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995877,AB_S8,GSM1657887,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657887,Brain,SRP057196,cortex
SRR1974560,postnatal 54 years,RNA-Seq,150,412210200,PRJNA281204,SAMN03486343,195791307,1772078217,hybrid,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995878,AB_S8,GSM1657888,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657888,Brain,SRP057196,cortex
SRR1974561,postnatal 54 years,RNA-Seq,150,427073550,PRJNA281204,SAMN03486344,193572821,1772078217,oligodendrocytes,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995879,AB_S8,GSM1657889,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657889,Brain,SRP057196,cortex
SRR1974562,postnatal 54 years,RNA-Seq,150,377206050,PRJNA281204,SAMN03486358,172614421,1772078217,oligodendrocytes,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995880,AB_S8,GSM1657890,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657890,Brain,SRP057196,cortex
SRR1974563,postnatal 54 years,RNA-Seq,150,326003100,PRJNA281204,SAMN03486355,150814097,1772078217,oligodendrocytes,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995881,AB_S8,GSM1657891,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657891,Brain,SRP057196,cortex
SRR1974564,postnatal 54 years,RNA-Seq,150,469162050,PRJNA281204,SAMN03486356,214160853,1772078217,oligodendrocytes,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995882,AB_S8,GSM1657892,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657892,Brain,SRP057196,cortex
SRR1974565,postnatal 54 years,RNA-Seq,150,344739000,PRJNA281204,SAMN03486357,159096459,1772078217,OPC,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995883,AB_S8,GSM1657893,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657893,Brain,SRP057196,cortex
SRR1974566,postnatal 54 years,RNA-Seq,150,229874400,PRJNA281204,SAMN03486345,106445364,1772078217,oligodendrocytes,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995884,AB_S8,GSM1657894,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657894,Brain,SRP057196,cortex
SRR1974567,postnatal 54 years,RNA-Seq,150,506202000,PRJNA281204,SAMN03486346,230129079,1772078217,hybrid,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995885,AB_S8,GSM1657895,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657895,Brain,SRP057196,cortex
SRR1974568,postnatal 54 years,RNA-Seq,150,416990550,PRJNA281204,SAMN03486347,191864023,1772078217,hybrid,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995886,AB_S8,GSM1657896,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657896,Brain,SRP057196,cortex
SRR1974569,postnatal 54 years,RNA-Seq,150,444370650,PRJNA281204,SAMN03486348,202232710,1772078217,hybrid,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995887,AB_S8,GSM1657897,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657897,Brain,SRP057196,cortex
SRR1974570,postnatal 54 years,RNA-Seq,150,302570400,PRJNA281204,SAMN03486349,139388619,1772078217,oligodendrocytes,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995888,AB_S8,GSM1657898,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657898,Brain,SRP057196,cortex
SRR1974571,postnatal 54 years,RNA-Seq,150,438282300,PRJNA281204,SAMN03486350,200071125,1772078217,oligodendrocytes,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995889,AB_S8,GSM1657899,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657899,Brain,SRP057196,cortex
SRR1974572,postnatal 54 years,RNA-Seq,150,363110700,PRJNA281204,SAMN03486351,172787862,1772078217,oligodendrocytes,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995890,AB_S8,GSM1657900,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657900,Brain,SRP057196,cortex
SRR1974573,postnatal 54 years,RNA-Seq,150,454803600,PRJNA281204,SAMN03486352,208126744,1772078217,oligodendrocytes,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995891,AB_S8,GSM1657901,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657901,Brain,SRP057196,cortex
SRR1974574,postnatal 54 years,RNA-Seq,150,380750250,PRJNA281204,SAMN03486353,181784504,1772078217,oligodendrocytes,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995892,AB_S8,GSM1657902,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657902,Brain,SRP057196,cortex
SRR1974575,postnatal 54 years,RNA-Seq,150,363183450,PRJNA281204,SAMN03486296,167168029,1772078217,OPC,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995893,AB_S8,GSM1657903,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657903,Brain,SRP057196,cortex
SRR1974576,postnatal 54 years,RNA-Seq,150,353157000,PRJNA281204,SAMN03486297,164080892,1772078218,OPC,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995894,AB_S8,GSM1657904,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657904,Brain,SRP057196,hippocampus
SRR1974577,postnatal 54 years,RNA-Seq,150,280704000,PRJNA281204,SAMN03486298,134069556,1772078218,hybrid,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995895,AB_S8,GSM1657905,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657905,Brain,SRP057196,hippocampus
SRR1974578,postnatal 54 years,RNA-Seq,150,476263800,PRJNA281204,SAMN03486299,220746855,1772078218,OPC,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995896,AB_S8,GSM1657906,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657906,Brain,SRP057196,hippocampus
SRR1974579,postnatal 54 years,RNA-Seq,150,386908350,PRJNA281204,SAMN03486300,180460390,1772078218,OPC,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995897,AB_S8,GSM1657907,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657907,Brain,SRP057196,hippocampus
SRR1974580,postnatal 54 years,RNA-Seq,150,395439000,PRJNA281204,SAMN03486301,182092993,1772078218,OPC,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995898,AB_S8,GSM1657908,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657908,Brain,SRP057196,hippocampus
SRR1974581,postnatal 54 years,RNA-Seq,150,331767600,PRJNA281204,SAMN03486302,153258233,1772078218,OPC,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995899,AB_S8,GSM1657909,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657909,Brain,SRP057196,hippocampus
SRR1974582,postnatal 54 years,RNA-Seq,150,342278400,PRJNA281204,SAMN03486303,165042136,1772078218,microglia,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995900,AB_S8,GSM1657910,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657910,Brain,SRP057196,hippocampus
SRR1974583,postnatal 54 years,RNA-Seq,150,343472700,PRJNA281204,SAMN03486304,164838008,1772078218,OPC,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995901,AB_S8,GSM1657911,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657911,Brain,SRP057196,hippocampus
SRR1974584,postnatal 54 years,RNA-Seq,150,343680300,PRJNA281204,SAMN03486305,155144283,1772078218,hybrid,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995902,AB_S8,GSM1657912,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657912,Brain,SRP057196,hippocampus
SRR1974585,postnatal 54 years,RNA-Seq,150,363179250,PRJNA281204,SAMN03486306,173698448,1772078218,OPC,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995903,AB_S8,GSM1657913,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657913,Brain,SRP057196,hippocampus
SRR1974586,postnatal 54 years,RNA-Seq,150,338580450,PRJNA281204,SAMN03486307,161762145,1772078218,OPC,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995904,AB_S8,GSM1657914,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657914,Brain,SRP057196,hippocampus
SRR1974587,postnatal 54 years,RNA-Seq,150,355588950,PRJNA281204,SAMN03486308,164438375,1772078218,OPC,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995905,AB_S8,GSM1657915,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657915,Brain,SRP057196,hippocampus
SRR1974588,postnatal 54 years,RNA-Seq,150,441795750,PRJNA281204,SAMN03486309,203960298,1772078218,OPC,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995906,AB_S8,GSM1657916,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657916,Brain,SRP057196,hippocampus
SRR1974589,postnatal 54 years,RNA-Seq,150,469602900,PRJNA281204,SAMN03486310,216121320,1772078218,OPC,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995907,AB_S8,GSM1657917,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657917,Brain,SRP057196,hippocampus
SRR1974590,postnatal 54 years,RNA-Seq,150,490988250,PRJNA281204,SAMN03486311,225611382,1772078218,microglia,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995908,AB_S8,GSM1657918,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657918,Brain,SRP057196,hippocampus
SRR1974591,postnatal 54 years,RNA-Seq,150,290245350,PRJNA281204,SAMN03486312,134307580,1772078218,microglia,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995909,AB_S8,GSM1657919,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657919,Brain,SRP057196,hippocampus
SRR1974592,postnatal 54 years,RNA-Seq,150,377744700,PRJNA281204,SAMN03486313,173731340,1772078218,OPC,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995910,AB_S8,GSM1657920,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657920,Brain,SRP057196,hippocampus
SRR1974593,postnatal 54 years,RNA-Seq,150,530733300,PRJNA281204,SAMN03486314,246811650,1772078218,OPC,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995911,AB_S8,GSM1657921,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657921,Brain,SRP057196,hippocampus
SRR1974594,postnatal 54 years,RNA-Seq,150,408380400,PRJNA281204,SAMN03486315,187797903,1772078218,OPC,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995912,AB_S8,GSM1657922,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657922,Brain,SRP057196,hippocampus
SRR1974595,postnatal 54 years,RNA-Seq,150,360330150,PRJNA281204,SAMN03486316,168486395,1772078218,microglia,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995913,AB_S8,GSM1657923,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657923,Brain,SRP057196,hippocampus
SRR1974596,postnatal 54 years,RNA-Seq,150,428994300,PRJNA281204,SAMN03486317,195016951,1772078218,OPC,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995914,AB_S8,GSM1657924,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657924,Brain,SRP057196,hippocampus
SRR1974597,postnatal 54 years,RNA-Seq,150,404346600,PRJNA281204,SAMN03486318,184976188,1772078218,microglia,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995915,AB_S8,GSM1657925,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657925,Brain,SRP057196,hippocampus
SRR1974598,postnatal 54 years,RNA-Seq,150,310258800,PRJNA281204,SAMN03486319,144521336,1772078218,microglia,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995916,AB_S8,GSM1657926,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657926,Brain,SRP057196,hippocampus
SRR1974599,postnatal 54 years,RNA-Seq,150,280599450,PRJNA281204,SAMN03486320,129460917,1772078218,microglia,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995917,AB_S8,GSM1657927,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657927,Brain,SRP057196,hippocampus
SRR1974600,postnatal 54 years,RNA-Seq,150,393492450,PRJNA281204,SAMN03486321,186889268,1772078218,OPC,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995918,AB_S8,GSM1657928,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657928,Brain,SRP057196,hippocampus
SRR1974601,postnatal 37 years,RNA-Seq,150,368946600,PRJNA281204,SAMN03486322,181338089,1772078236,hybrid,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995919,AB_S11,GSM1657929,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657929,Brain,SRP057196,cortex
SRR1974602,postnatal 37 years,RNA-Seq,150,441148050,PRJNA281204,SAMN03486323,216971179,1772078236,neurons,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995920,AB_S11,GSM1657930,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657930,Brain,SRP057196,cortex
SRR1974603,postnatal 37 years,RNA-Seq,150,336513150,PRJNA281204,SAMN03486324,165180144,1772078236,neurons,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995921,AB_S11,GSM1657931,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657931,Brain,SRP057196,cortex
SRR1974604,postnatal 37 years,RNA-Seq,150,390198150,PRJNA281204,SAMN03486325,191382094,1772078236,astrocytes,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995922,AB_S11,GSM1657932,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657932,Brain,SRP057196,cortex
SRR1974605,postnatal 37 years,RNA-Seq,150,501605700,PRJNA281204,SAMN03486359,245217458,1772078236,neurons,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995923,AB_S11,GSM1657933,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657933,Brain,SRP057196,cortex
SRR1974606,postnatal 37 years,RNA-Seq,150,472151400,PRJNA281204,SAMN03486354,234744386,1772078236,microglia,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995924,AB_S11,GSM1657934,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657934,Brain,SRP057196,cortex
SRR1974607,postnatal 37 years,RNA-Seq,150,599793900,PRJNA281204,SAMN03486266,293910079,1772078236,neurons,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995925,AB_S11,GSM1657935,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657935,Brain,SRP057196,cortex
SRR1974608,postnatal 37 years,RNA-Seq,150,479154150,PRJNA281204,SAMN03486267,234682833,1772078236,hybrid,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995926,AB_S11,GSM1657936,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657936,Brain,SRP057196,cortex
SRR1974609,postnatal 37 years,RNA-Seq,150,493882500,PRJNA281204,SAMN03486268,240594174,1772078236,neurons,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995927,AB_S11,GSM1657937,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657937,Brain,SRP057196,cortex
SRR1974610,postnatal 37 years,RNA-Seq,150,424647300,PRJNA281204,SAMN03486269,208503137,1772078236,astrocytes,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995928,AB_S11,GSM1657938,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657938,Brain,SRP057196,cortex
SRR1974611,postnatal 37 years,RNA-Seq,150,351087900,PRJNA281204,SAMN03486270,172723661,1772078236,neurons,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995929,AB_S11,GSM1657939,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657939,Brain,SRP057196,cortex
SRR1974612,postnatal 37 years,RNA-Seq,150,250758000,PRJNA281204,SAMN03486271,122240368,1772078236,neurons,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995930,AB_S11,GSM1657940,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657940,Brain,SRP057196,cortex
