Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type_or_stage,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,create_date,version
SRR3555266,RNA-Seq,192,369299712,PRJNA322308,SAMN05150974,289466961,Definitive endoderm 1,GEO,public,"""sra_run.zq_fastq""","""ncbi_s3_gs""","""gs.US_s3.us-east-1_ncbi.public""",SRX1782060,GSM2170458,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170458,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555267,RNA-Seq,192,243518592,PRJNA322308,SAMN05150975,191213245,Definitive endoderm 1,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""ncbi.public_s3.us-east-1_gs.US""",SRX1782061,GSM2170459,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170459,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555268,RNA-Seq,192,338855040,PRJNA322308,SAMN05150976,262328949,Definitive endoderm 1,GEO,public,"""run.zq_fastq_sra""","""ncbi_gs_s3""","""gs.US_ncbi.public_s3.us-east-1""",SRX1782062,GSM2170460,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170460,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555269,RNA-Seq,192,321934656,PRJNA322308,SAMN05150977,250119956,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""s3_ncbi_gs""","""gs.US_s3.us-east-1_ncbi.public""",SRX1782063,GSM2170461,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170461,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555270,RNA-Seq,192,307525440,PRJNA322308,SAMN05150978,240099093,Definitive endoderm 1,GEO,public,"""run.zq_sra_fastq""","""gs_s3_ncbi""","""gs.US_ncbi.public_s3.us-east-1""",SRX1782064,GSM2170462,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170462,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555271,RNA-Seq,192,367360512,PRJNA322308,SAMN05151083,284038633,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""s3_ncbi_gs""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782065,GSM2170463,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170463,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555272,RNA-Seq,192,197041536,PRJNA322308,SAMN05151084,153543048,Definitive endoderm 1,GEO,public,"""run.zq_fastq_sra""","""ncbi_gs_s3""","""gs.US_ncbi.public_s3.us-east-1""",SRX1782066,GSM2170464,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170464,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555273,RNA-Seq,192,270480576,PRJNA322308,SAMN05151085,210988768,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""s3_ncbi_gs""","""s3.us-east-1_ncbi.public_gs.US""",SRX1782067,GSM2170465,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170465,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555274,RNA-Seq,192,285605184,PRJNA322308,SAMN05151086,223433004,Definitive endoderm 1,GEO,public,"""run.zq_fastq_sra""","""ncbi_gs_s3""","""s3.us-east-1_ncbi.public_gs.US""",SRX1782068,GSM2170466,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170466,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555275,RNA-Seq,192,333583296,PRJNA322308,SAMN05151087,259141106,Definitive endoderm 1,GEO,public,"""sra_run.zq_fastq""","""gs_ncbi_s3""","""s3.us-east-1_ncbi.public_gs.US""",SRX1782069,GSM2170467,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170467,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555276,RNA-Seq,192,393139200,PRJNA322308,SAMN05151082,301620010,Definitive endoderm 1,GEO,public,"""run.zq_fastq_sra""","""s3_ncbi_gs""","""gs.US_ncbi.public_s3.us-east-1""",SRX1782070,GSM2170468,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170468,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555277,RNA-Seq,192,358691904,PRJNA322308,SAMN05151088,275718903,Definitive endoderm 1,GEO,public,"""run.zq_sra_fastq""","""s3_gs_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782071,GSM2170469,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170469,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555278,RNA-Seq,192,320547264,PRJNA322308,SAMN05151089,248055810,Definitive endoderm 1,GEO,public,"""sra_run.zq_fastq""","""s3_gs_ncbi""","""s3.us-east-1_ncbi.public_gs.US""",SRX1782072,GSM2170470,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170470,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555279,RNA-Seq,192,257100096,PRJNA322308,SAMN05151090,199754132,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""gs_ncbi_s3""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782073,GSM2170471,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170471,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555280,RNA-Seq,192,236851968,PRJNA322308,SAMN05151091,186015162,Definitive endoderm 1,GEO,public,"""sra_run.zq_fastq""","""gs_ncbi_s3""","""gs.US_s3.us-east-1_ncbi.public""",SRX1782074,GSM2170472,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170472,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555281,RNA-Seq,192,332006976,PRJNA322308,SAMN05151092,260677983,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""s3_gs_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",SRX1782075,GSM2170473,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170473,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555282,RNA-Seq,192,250577856,PRJNA322308,SAMN05151093,197554167,Definitive endoderm 1,GEO,public,"""sra_fastq_run.zq""","""s3_gs_ncbi""","""ncbi.public_s3.us-east-1_gs.US""",SRX1782076,GSM2170474,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170474,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555283,RNA-Seq,192,284117760,PRJNA322308,SAMN05151094,223293018,Definitive endoderm 1,GEO,public,"""run.zq_sra_fastq""","""ncbi_s3_gs""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782077,GSM2170475,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170475,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555284,RNA-Seq,192,342601536,PRJNA322308,SAMN05151095,268461939,Definitive endoderm 1,GEO,public,"""run.zq_fastq_sra""","""gs_s3_ncbi""","""gs.US_s3.us-east-1_ncbi.public""",SRX1782078,GSM2170476,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170476,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555285,RNA-Seq,192,231936768,PRJNA322308,SAMN05151096,182975251,Definitive endoderm 1,GEO,public,"""sra_fastq_run.zq""","""gs_s3_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782079,GSM2170477,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170477,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555286,RNA-Seq,192,262992000,PRJNA322308,SAMN05151097,206675827,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""gs_s3_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",SRX1782080,GSM2170478,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170478,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555287,RNA-Seq,192,297354432,PRJNA322308,SAMN05151098,231939156,Definitive endoderm 1,GEO,public,"""run.zq_fastq_sra""","""ncbi_s3_gs""","""gs.US_s3.us-east-1_ncbi.public""",SRX1782081,GSM2170479,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170479,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555288,RNA-Seq,192,287066112,PRJNA322308,SAMN05151099,225553147,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""ncbi_s3_gs""","""gs.US_s3.us-east-1_ncbi.public""",SRX1782082,GSM2170480,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170480,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555289,RNA-Seq,192,278313024,PRJNA322308,SAMN05151100,219231301,Definitive endoderm 1,GEO,public,"""run.zq_fastq_sra""","""gs_ncbi_s3""","""ncbi.public_s3.us-east-1_gs.US""",SRX1782083,GSM2170481,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170481,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555290,RNA-Seq,192,284605248,PRJNA322308,SAMN05151101,222964396,Definitive endoderm 1,GEO,public,"""sra_run.zq_fastq""","""ncbi_s3_gs""","""s3.us-east-1_gs.US_ncbi.public""",SRX1782084,GSM2170482,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170482,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555291,RNA-Seq,192,247575552,PRJNA322308,SAMN05151102,194934090,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""ncbi_s3_gs""","""s3.us-east-1_gs.US_ncbi.public""",SRX1782085,GSM2170483,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170483,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555292,RNA-Seq,192,362562816,PRJNA322308,SAMN05151103,283011187,Definitive endoderm 1,GEO,public,"""run.zq_sra""","""s3_gs_ncbi""","""gs.US_s3.us-east-1_ncbi.public""",SRX1782086,GSM2170484,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170484,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555293,RNA-Seq,192,310870848,PRJNA322308,SAMN05151104,243777867,Definitive endoderm 1,GEO,public,"""sra_run.zq_fastq""","""gs_s3_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782087,GSM2170485,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170485,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555294,RNA-Seq,192,341884608,PRJNA322308,SAMN05151105,268006477,Definitive endoderm 1,GEO,public,"""sra_fastq_run.zq""","""s3_ncbi_gs""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782088,GSM2170486,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170486,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555295,RNA-Seq,192,317827200,PRJNA322308,SAMN05151106,249203589,Definitive endoderm 1,GEO,public,"""sra_fastq_run.zq""","""ncbi_s3_gs""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782089,GSM2170487,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170487,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555296,RNA-Seq,192,212063808,PRJNA322308,SAMN05151107,167304626,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""s3_ncbi_gs""","""s3.us-east-1_ncbi.public_gs.US""",SRX1782090,GSM2170488,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170488,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
SRR3555297,RNA-Seq,192,420710208,PRJNA322308,SAMN05151108,327315873,Definitive endoderm 1,GEO,public,"""fastq_run.zq_sra""","""ncbi_s3_gs""","""ncbi.public_s3.us-east-1_gs.US""",SRX1782091,GSM2170489,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170489,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555298,RNA-Seq,192,398549376,PRJNA322308,SAMN05151109,310612235,Definitive endoderm 1,GEO,public,"""run.zq_fastq_sra""","""gs_ncbi_s3""","""ncbi.public_s3.us-east-1_gs.US""",SRX1782092,GSM2170490,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170490,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555299,RNA-Seq,192,349964544,PRJNA322308,SAMN05151110,272775972,Definitive endoderm 1,GEO,public,"""run.zq_fastq_sra""","""gs_s3_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",SRX1782093,GSM2170491,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170491,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555300,RNA-Seq,192,357680256,PRJNA322308,SAMN05151111,280130563,Definitive endoderm 1,GEO,public,"""run.zq_sra_fastq""","""ncbi_gs_s3""","""s3.us-east-1_gs.US_ncbi.public""",SRX1782094,GSM2170492,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170492,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555301,RNA-Seq,192,360018240,PRJNA322308,SAMN05151112,279253903,Definitive endoderm 1,GEO,public,"""sra_fastq_run.zq""","""ncbi_gs_s3""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782095,GSM2170493,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170493,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555302,RNA-Seq,192,303518976,PRJNA322308,SAMN05151113,238293857,Definitive endoderm 1,GEO,public,"""sra_run.zq_fastq""","""ncbi_s3_gs""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782096,GSM2170494,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170494,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555303,RNA-Seq,192,268615488,PRJNA322308,SAMN05151114,211005379,Definitive endoderm 1,GEO,public,"""run.zq_sra_fastq""","""ncbi_gs_s3""","""gs.US_ncbi.public_s3.us-east-1""",SRX1782097,GSM2170495,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170495,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555304,RNA-Seq,192,361393344,PRJNA322308,SAMN05151115,282142295,Definitive endoderm 1,GEO,public,"""run.zq_sra_fastq""","""s3_ncbi_gs""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782098,GSM2170496,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170496,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555305,RNA-Seq,192,305768448,PRJNA322308,SAMN05151116,240145930,Definitive endoderm 1,GEO,public,"""run.zq_fastq_sra""","""s3_ncbi_gs""","""gs.US_ncbi.public_s3.us-east-1""",SRX1782099,GSM2170497,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170497,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555306,RNA-Seq,192,331040832,PRJNA322308,SAMN05151117,269248806,Definitive endoderm 1,GEO,public,"""run.zq_fastq_sra""","""ncbi_s3_gs""","""gs.US_s3.us-east-1_ncbi.public""",SRX1782100,GSM2170498,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170498,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
SRR3555307,RNA-Seq,192,344558592,PRJNA322308,SAMN05151118,268840760,Definitive endoderm 1,GEO,public,"""sra_run.zq_fastq""","""ncbi_gs_s3""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782101,GSM2170499,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170499,iPSC line TkDA3-4,SRP075475,2016-05-20T14:19:00Z,1
